Sale?,Name,"Prices, Shipping, and Deals"
,PNY GeForce RTX 2080 Ti 11GB Blower 352-Bit GDDR6 PCI Express 3.0 SLI Support Video Card,"$1,799.00 –Free Shipping"
SALE,"GIGABYTE GeForce RTX 2080 SUPER GAMING OC WHITE 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SGAMINGOC WHITE-8GD Video Card","$1,099.99 –Sale Ends in 2 Hours - $45.00 Shipping"
,"PNY GeForce RTX 2080 XLR8 Gaming Overclocked Edition Graphics Card, VCG20808DFPPB-O","$1,099.00 (3 Offers)–Free Shipping"
,"ZOTAC GAMING GeForce RTX 2080 Ti Triple Fan 11GB GDDR6 352-bit Gaming Graphics Card, Active Fan Control, Metal Backplate, Spectra Lighting (ZT-T20810F-10P)","$1,799.00 –Free Shipping"
SALE,GIGABYTE AORUS GeForce RTX 2080 Ti DirectX 12 GV-N208TAORUS-11GC 11GB 352-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,649.99 (3 Offers)–Sale Ends in 2 Hours - $75.00 Shipping"
,"GIGABYTE AORUS GeForce RTX 2080 Super 8G Graphics Card, WINDFORCE Stack, 8GB 256-Bit GDDR6, GV-N208SAORUS-8GC Video Card","$1,164.99 –$99.99 Shipping"
,MSI RTX 2080 Ti Gaming X Trio 11GB GDDR6 Graphics Card (V371-026R),"$1,799.00 (3 Offers)–Free Shipping"
,Colorful iGame GeForce RTX 2080 SUPER Advanced OC Graphics Card 8Pinx2 GDDR6 Video Card  HDMI *1 DP *3 Type-C* 1,"$1,084.88 (3 Offers)–Free Shipping"
,"MSI Gaming GeForce RTX 2080 Ti GDRR6 352-bit HDMI/DP/USB Ray Tracing Turing Architecture Liquid Cooling Graphics Card (RTX 2080 TI SEA Hawk X), Boost Clock: 1755 MHz","$1,799.00 –Free Shipping"
,PNY GeForce RTX 2080 8GB Blower Graphics Card,"$1,099.00 –Free Shipping"
,NVIDIA VGA Gift - Rainbow Six Siege Gold Edition,$55.00 –
,"EVGA GeForce RTX 2080 Ti FTW3 Ultra Gaming, 11GB GDDR6, iCX2 & RGB LED Graphics Card 11G-P4-2487-KR","$1,799.00 –Free Shipping"
